modality,validation,analysis,arm,model,n,n_positive,n_negative,auc,ci95_low,ci95_high,n_bootstrap,source_prediction_file,source_results_file
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",NR,XGB,63,30,33,0.456060606060606,0.31278986027371036,0.60101035868893,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/MRI_axisA_common_neutral_mlp/external_predictions__bundle__XGB__A-NR__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/external_validation_summary_all.csv
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",NR,MLP,63,30,33,0.4565656565656566,0.313578442353644,0.6018154495221028,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/MRI_axisA_common_neutral_mlp/external_predictions__bundle__MLP__A-NR__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/external_validation_summary_all.csv
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",RS,LR,63,30,33,0.5696969696969697,0.4204070317643186,0.7110238554881412,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/MRI_axisA_common_neutral_mlp/external_predictions__bundle__LR__A-RS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/external_validation_summary_all.csv
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",RS,XGB,63,30,33,0.5595959595959595,0.4151429098285082,0.7031696731748724,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/MRI_axisA_common_neutral_mlp/external_predictions__bundle__XGB__A-RS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/external_validation_summary_all.csv
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",RS,MLP,63,30,33,0.5555555555555556,0.40524193548387094,0.6955689123535954,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/MRI_axisA_common_neutral_mlp/external_predictions__bundle__MLP__A-RS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/external_validation_summary_all.csv
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",VS,LR,63,30,33,0.36717171717171715,0.23084677419354838,0.5111111111111111,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/MRI_axisA_common_neutral_mlp/external_predictions__bundle__LR__A-VS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/external_validation_summary_all.csv
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",VS,XGB,63,30,33,0.41717171717171714,0.2762096774193548,0.5642124060150376,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/MRI_axisA_common_neutral_mlp/external_predictions__bundle__XGB__A-VS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/external_validation_summary_all.csv
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",VS,MLP,63,30,33,0.5070707070707071,0.36210435571687843,0.6512102996814019,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/MRI_axisA_common_neutral_mlp/external_predictions__bundle__MLP__A-VS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/external_validation_summary_all.csv
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",FK,LR,63,30,33,0.6313131313131313,0.4884074960127592,0.7646479500891266,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/MRI_axisA_common_neutral_mlp/external_predictions__bundle__LR__A-FK__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/external_validation_summary_all.csv
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",FK,XGB,63,30,33,0.5606060606060606,0.4146016900637196,0.7070707070707071,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/MRI_axisA_common_neutral_mlp/external_predictions__bundle__XGB__A-FK__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/external_validation_summary_all.csv
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",FK,MLP,63,30,33,0.6747474747474748,0.5304228901591985,0.8073038859827052,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/MRI_axisA_common_neutral_mlp/external_predictions__bundle__MLP__A-FK__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/external_validation_summary_all.csv
